subject_id,n_vertices,n_faces,non_manifold_edges,boundary_edges,status
sub-100604200_ses-1,60069,119876,2,262,NON_MANIFOLD
sub-100604200_ses-2,60075,119880,4,272,NON_MANIFOLD
sub-100604200_ses-3,60072,119882,1,261,NON_MANIFOLD
sub-100604200_ses-4,60079,119872,6,290,NON_MANIFOLD
sub-100604200_ses-5,60071,119879,3,264,NON_MANIFOLD
sub-101314200_ses-1,60067,119876,3,259,NON_MANIFOLD
sub-101314200_ses-2,60070,119880,1,259,NON_MANIFOLD
sub-101314200_ses-3,60073,119880,2,266,NON_MANIFOLD
sub-101314200_ses-4,60067,119889,5,248,NON_MANIFOLD
sub-101370100_ses-1,60058,119877,2,239,NON_MANIFOLD
sub-101370100_ses-2,60059,119873,2,245,NON_MANIFOLD
sub-101370100_ses-4,60064,119882,2,246,NON_MANIFOLD
sub-101376100_ses-2,60065,119857,4,275,NON_MANIFOLD
sub-101376100_ses-4,60075,119863,3,288,NON_MANIFOLD
sub-101430200_ses-4,60078,119868,3,289,NON_MANIFOLD
sub-101430200_ses-5,60081,119863,2,299,NON_MANIFOLD
sub-101443100_ses-2,60065,119865,2,265,NON_MANIFOLD
sub-101443100_ses-4,60074,119869,2,279,NON_MANIFOLD
sub-101939200_ses-1,60064,119860,0,266,OK
sub-101939200_ses-2,60065,119859,1,270,NON_MANIFOLD
sub-101939200_ses-3,60065,119864,6,270,NON_MANIFOLD
sub-101939200_ses-4,60069,119862,5,279,NON_MANIFOLD
sub-102268100_ses-1,60075,119865,2,285,NON_MANIFOLD
sub-102268100_ses-2,60069,119878,1,259,NON_MANIFOLD
sub-102372100_ses-1,60061,119878,1,243,NON_MANIFOLD
sub-102372100_ses-2,60064,119875,4,255,NON_MANIFOLD
sub-102372100_ses-4,60071,119883,6,263,NON_MANIFOLD
sub-102372100_ses-5,60062,119877,4,249,NON_MANIFOLD
sub-102952100_ses-1,60080,119874,4,288,NON_MANIFOLD
sub-102969100_ses-4,60069,119885,4,255,NON_MANIFOLD
sub-102969100_ses-5,60087,119869,4,307,NON_MANIFOLD
sub-103005201_ses-1,60060,119864,5,259,NON_MANIFOLD
sub-103049100_ses-1,60072,119870,4,276,NON_MANIFOLD
sub-103347100_ses-1,60076,119871,4,283,NON_MANIFOLD
sub-103426100_ses-1,60066,119876,4,258,NON_MANIFOLD
sub-103426100_ses-2,60067,119874,4,262,NON_MANIFOLD
sub-103430100_ses-2,60069,119874,3,265,NON_MANIFOLD
sub-103430100_ses-4,60068,119870,3,267,NON_MANIFOLD
sub-103430100_ses-5,60079,119863,2,295,NON_MANIFOLD
sub-103532100_ses-1,60060,119861,1,258,NON_MANIFOLD
sub-103532100_ses-2,60060,119860,2,260,NON_MANIFOLD
sub-103655200_ses-1,60063,119862,1,263,NON_MANIFOLD
sub-103655200_ses-2,60065,119864,4,268,NON_MANIFOLD
sub-103739100_ses-1,60079,119873,3,286,NON_MANIFOLD
sub-103739100_ses-2,60082,119872,3,293,NON_MANIFOLD
sub-103739100_ses-3,60083,119873,1,292,NON_MANIFOLD
sub-103739100_ses-4,60078,119876,3,281,NON_MANIFOLD
sub-104054100_ses-1,60065,119870,6,264,NON_MANIFOLD
sub-104054100_ses-4,60080,119875,4,287,NON_MANIFOLD
sub-104079100_ses-2,60071,119878,3,265,NON_MANIFOLD
sub-104079100_ses-3,60072,119881,0,261,OK
sub-104079100_ses-4,60072,119876,3,269,NON_MANIFOLD
sub-104079100_ses-5,60079,119872,2,286,NON_MANIFOLD
sub-104317100_ses-1,60059,119863,0,253,OK
sub-104317100_ses-4,60073,119857,3,290,NON_MANIFOLD
sub-104364100_ses-1,60064,119857,3,272,NON_MANIFOLD
sub-104364100_ses-4,60072,119873,4,273,NON_MANIFOLD
sub-104465100_ses-1,60068,119864,1,271,NON_MANIFOLD
sub-104465100_ses-2,60070,119865,6,279,NON_MANIFOLD
sub-104622200_ses-1,60074,119871,3,278,NON_MANIFOLD
sub-104622200_ses-2,60075,119871,0,277,OK
sub-104622200_ses-4,60083,119877,5,292,NON_MANIFOLD
sub-104622200_ses-5,60083,119866,4,302,NON_MANIFOLD
sub-104714100_ses-1,60065,119862,3,269,NON_MANIFOLD
sub-104714100_ses-2,60064,119857,1,270,NON_MANIFOLD
sub-104803100_ses-1,60066,119870,0,260,OK
sub-104803100_ses-2,60068,119877,4,261,NON_MANIFOLD
sub-104803100_ses-3,60064,119881,2,247,NON_MANIFOLD
sub-104803100_ses-4,60070,119877,2,263,NON_MANIFOLD
